token,triplet,source_outgoing_count,source_weight,policy_tvd,policy_js_bits,policy_kl_bits,classical_sequence_js_bits,ideal_sequence_js_bits,noisy_sequence_js_bits
123,"(5, 1, 0)",6,0.0012414649286157666,0.9876547594466241,0.9504396150501784,6.779679556494717,0.9986425710609375,0.9504396150501784,0.9986904350287609
124,"(5, 1, 1)",45,0.00931098696461825,0.16930518273797224,0.08691157533563149,0.26028307578569404,0.0,0.0,0.9988717123608424
125,"(5, 2, 0)",92,0.01903579557210842,0.16386764402230014,0.0839299181904281,0.2511129341876945,0.6271116012766416,0.10917879807647127,0.6611510534019782
126,"(5, 2, 2)",2,0.0004138216428719222,0.9672333264505472,0.8921029445898454,4.959037011211828,0.8921029445898454,0.8921029445898454,0.9984329238368044
127,"(5, 2, 3)",2,0.0004138216428719222,0.9672333264505472,0.8921029445898454,4.959037011211828,0.8921029445898454,0.8921029445898454,0.8921029445898454
128,"(5, 4, 0)",63,0.01303538175046555,0.16443258310964268,0.08424035683700555,0.25206855521647065,0.4585691436728635,0.0,0.8798611826177517
129,"(5, 4, 1)",9,0.00186219739292365,0.99033636175924,0.9583683294357499,6.831269063883638,0.9583683294357499,0.9583683294357499,0.9986710515062164
130,"(5, 6, 2)",2,0.0004138216428719222,0.9969372289902954,0.9836087462558254,8.89947164850393,0.9836087462558254,0.9989729647212986,0.9836087462558254
131,"(6, 1, 1)",36,0.0074487895716946,0.16972888705347922,0.08714466366688636,0.2610009388654497,0.0,0.0,0.9626775148268485
132,"(6, 2, 0)",64,0.01324229257190151,0.1639029527152591,0.08397392431240255,0.251279658973547,0.4161960599982629,0.2537594203076552,0.8837784838939959
133,"(6, 3, 23)",2,0.0004138216428719222,0.9981748915961179,0.9894751952287271,10.220053724110125,0.9894751952287271,0.9894751952287271,0.9989896505827569
134,"(6, 10, 0)",8,0.0016552865714876887,0.9921928556679744,0.9657900522540642,7.388033249814925,0.9989325327082683,0.9657900522540642,0.9657900522540642
135,"(7, 1, 0)",1,0.0002069108214359611,0.9977623373941771,0.9874272634998882,9.635684401441331,0.9874272634998882,0.9874272634998882,0.9874272634998882
136,"(7, 1, 1)",18,0.0037243947858473,0.17036444352673963,0.08749445649300076,0.2620784404643485,0.0,0.9766330837414869,0.9766330837414869
137,"(7, 2, 0)",54,0.0111731843575419,0.16231406153210814,0.0830812988065592,0.24850729887553108,0.1433163331245535,0.04491926805516247,0.519438409104811
138,"(7, 2, 2)",4,0.0008276432857438444,0.9672333264505472,0.8921029445898454,4.959037011211828,0.9983408808130017,0.8921029445898454,0.9985040756600395
139,"(8, 1, 0)",1,0.0002069108214359611,0.9740404707825729,0.9097154237341183,5.306509457894202,0.9097154237341183,0.9097154237341183,0.9986741237534751
140,"(8, 2, 0)",21,0.004345127250155183,0.1696229609746024,0.087086392115277,0.26082147543258877,0.024199380840450032,0.024199380840450032,0.9989279465428323
141,"(8, 3, 0)",2,0.0004138216428719222,0.991574024365063,0.9626775148268483,7.053418128012696,0.9626775148268483,0.9626775148268483,0.9988638923506088
142,"(8, 4, 0)",22,0.004552038071591144,0.1670454263886021,0.0856698788934827,0.2564608236535071,0.9147324183456549,0.0,0.9988165783560461
143,"(8, 10, 0)",1,0.0002069108214359611,0.9987937228990296,0.9928839112505619,12.218040726586349,0.9987491691518361,0.9928839112505619,0.9989844434369255
144,"(9, 1, 0)",3,0.0006207324643078833,0.9878610365475944,0.9503520167353665,6.515781428616735,0.9503520167353665,0.9503520167353665,0.9503520167353665
145,"(9, 10, 0)",3,0.0006207324643078833,0.997556060293207,0.9865666933038942,9.579103156448097,0.9865666933038942,0.9865666933038942,0.998964127868941
146,"(10, 2, 0)",43,0.008897165321746328,0.16178443113772448,0.0828567493841288,0.2479005083656475,0.09955546152613162,0.3039447511242986,0.8811015080160878
147,"(10, 4, 0)",3,0.0006207324643078833,0.9835292174272146,0.9365791904334375,5.995715741716117,0.9985992172517406,0.9988763376533335,0.998736938418193
148,"(10, 10, 0)",1,0.0002069108214359611,0.9913677472640925,0.961949668657135,7.013932805771545,0.961949668657135,0.961949668657135,0.9988621397548998
149,"(11, 2, 0)",7,0.0014483757500517278,0.9975560602932066,0.9864431876098217,9.413518400423651,0.9988612282144911,0.9864431876098217,0.9987364660852869
